,Time corrected area,Area,Aligned Migration Time [s],Peak Height,Peak Width
,37.3,8.5,22.50,23.3,1.0
,25.0,7.3,28.73,14.5,2.3
,2.7,0.9,32.24,2.0,1.1
,43.6,14.4,32.74,30.8,2.0
,3.7,1.3,35.36,1.5,1.6
,2.5,0.9,37.29,0.9,1.2
,32.7,12.5,37.88,20.3,1.7
,2.3,0.9,39.46,1.4,0.7
,2.7,1.1,41.04,1.1,1.0
,1.2,0.5,41.93,1.1,0.4
,38.1,16.9,43.96,12.2,3.6
,6.6,3.2,48.12,1.5,2.3
,1.7,0.8,48.81,1.6,0.5
,1.7,0.9,49.45,1.6,0.5
,43.0,22.6,51.97,10.8,5.0
,0.6,0.3,55.09,0.9,0.4
,1.2,0.7,56.08,0.9,0.7
,30.2,18.1,59.09,6.5,5.6
